,activity,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
CHEMBL2518_CHEMBL287700,4.28,222.11,3.22,592.54,43,6,14,12,5,15,14,222,1,4,0,0,1,3,0,4.0,7.0,4.0,6.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0,9.0,1.0,0.0,1.0,2.0
CHEMBL4791_CHEMBL2115345,5.94,82.19,3.56,408.52,29,3,5,4,4,6,8,150,1,3,0,1,1,2,0,2.0,4.0,2.0,3.0,0.0,1.0,2.0,2.0,3.0,3.0,2.0,0.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,6.0
CHEMBL4680_CHEMBL1823570,6.55,110.05,-1.1,468.53,31,3,6,8,3,9,10,158,0,3,0,1,2,1,0,4.0,3.0,5.0,2.0,0.0,2.0,2.0,6.0,3.0,7.0,6.0,1.0,3.0,3.0,3.0,2.0,3.0,0.0,2.0,2.0
CHEMBL4372_CHEMBL1760316,9.41,61.36,4.51,404.5,29,3,4,3,3,6,14,158,1,2,0,0,0,2,0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,4.0,4.0,1.0,7.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,3.0
CHEMBL4372_CHEMBL1760318,9.24,70.59,4.12,406.47,29,3,5,4,3,7,14,158,1,2,0,0,0,2,0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,4.0,4.0,1.0,7.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,3.0
CHEMBL2461_CHEMBL365843,9.82,86.71,1.19,356.42,26,2,6,4,2,6,7,138,2,1,1,2,0,1,1,2.0,2.0,4.0,4.0,1.0,1.0,1.0,7.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,6.0
CHEMBL3744_CHEMBL575060,6.31,100.62,-0.74,147.13,10,4,5,5,3,5,5,58,0,0,0,0,0,0,0,4.0,1.0,2.0,1.0,0.0,0.0,3.0,5.0,0.0,2.0,6.0,3.0,4.0,3.0,2.0,2.0,6.0,1.0,2.0,3.0
CHEMBL3481_CHEMBL355775,5.96,49.33,0.37,163.24,10,2,3,4,3,4,7,60,0,0,0,0,0,0,0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,6.0,2.0,6.0,4.0,1.0,0.0,3.0,1.0,5.0,5.0,2.0,5.0,0.0
CHEMBL2409_CHEMBL3263297,8.51,82.26,7.14,554.86,40,4,6,2,4,6,15,226,4,0,8,8,0,0,0,3.0,1.0,5.0,3.0,0.0,2.0,4.0,4.0,3.0,2.0,8.0,2.0,5.0,6.0,4.0,6.0,1.0,4.0,3.0,3.0
CHEMBL3886_CHEMBL1974310,6.1,55.98,3.2,272.3,19,2,3,3,1,5,2,94,1,3,0,0,2,1,0,5.0,3.0,1.0,2.0,1.0,1.0,6.0,5.0,2.0,7.0,5.0,3.0,0.0,4.0,0.0,5.0,2.0,0.0,5.0,9.0
CHEMBL2966_CHEMBL192799,5.33,86.57,-1.38,181.2,13,3,6,6,2,6,3,70,0,0,0,2,0,0,0,3.0,2.0,0.0,6.0,3.0,0.0,2.0,2.0,5.0,2.0,8.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0
